no,nomor_ruas,nama_ruas,lingkungan,kelurahan,kecamatan,panjang,lebar,kondisi_jalan,perkerasan,prosentase_kerusakan,keterangan_utilitas,kubikasi_ruas
413,494,JALAN KRESNA,DADAPAN,SUMBERDIREN,GARUM,305.01,2.5,Rusak Ringan,Lapen,20,Saluran air di kiri jalan,3812.625
414,"1,412",JALAN TUMAPEL,NGEBRAK,TAWANGSARI,GARUM,1382.68,2,Sedang,Lapen,20,Saluran air di kanan dan kiri jalan,13826.8
415,490,JALAN HASYIM AS'YARI,BENCE,BENCE,GARUM,266.61,2,Rusak Berat,Beton,100,Tidak ada saluran air,2666.1
416,485,JALAN LINGKUNGAN 01/02 BENCE 3,BENCE 3,BENCE,GARUM,207.39,2.5,Sedang,Lapen,20,Tidak ada saluran air,2592.375
417,"1,504",GANG SEJAHTERA,TAWANGREJO,TAWANGSARI,GARUM,133.63,1.5,Rusak Berat,Tanah,100,tidak ada saluran air,1002.225
418,484,JALAN WAHID HASYIM,BENCE 3,BENCE,GARUM,229.79,3,Rusak Ringan,Lapen,50,Tidak ada saluran air,3446.85
419,492,JALAN KI HAJAR DEWANTARA,BENCE 3,BENCE,GARUM,362.81,2.5,Sedang,Lapen,20,tidak ada saluran air,4535.125
420,515,JALAN KRESNA,DADAPAN,SUMBERDIREN,GARUM,107.35,2,Rusak Berat,Lapen,90,Saluran di kanan jalan,1073.5
421,561,JALAN RT. 01 RW. 02,COMBONG,GARUM,GARUM,60.79,3,Baik,Paving,0,Tidak terdapat saluran air,911.85
422,562,JALAN ILYAS,COMBONG,GARUM,GARUM,480.16,3,Baik,HotMix,0,Terdapat saluran air di sebelah kanan dan kiri ruas jalan,7202.4
423,559,JALAN RT. 02 RW. 01,COMBONG,GARUM,GARUM,441.26,3,Baik,HotMix,0,Terdapat saluran air di sebelah kanan dan kiri ruas jalan,6618.9
424,560,JALAN RT. 03 RW. 01,COMBONG,GARUM,GARUM,96.16,3,Baik,Paving,0,Tidak terdapat saluran air,1442.4
425,558,JALAN RT. 03 RW. 01,COMBONG,GARUM,GARUM,84.78,3,Rusak Ringan,Lapen,25,Terdapat saluran air di sebelah kiri ruas jalan,1271.7
426,555,JALAN RT. 02 RW. 01,COMBONG,GARUM,GARUM,75.16,3,Baik,Lapen,0,Tidak terdapat saluran air,1127.4
427,556,JALAN RT. 03 RW. 01,COMBONG,GARUM,GARUM,411.07,3,Sedang,Lapen,50,Tidak terdapat saluran air,6166.05
428,554,JALAN MASJID,COMBONG,GARUM,GARUM,579.8,3,Baik,HotMix,0,Tidak terdapat saluran air,8697
429,557,JALAN RT. 01 RW. 01,COMBONG,GARUM,GARUM,485.03,3,Rusak Ringan,Beton,25,Tidak terdapat saluran air,7275.45
430,544,JALAN RT. 01 RW. 02 LINGK.COMBONG,GARUM,GARUM,GARUM,339.69,3,Rusak Berat,Lapen,80,Tidak terdapat saluran air,5095.35
431,501,JALAN HASANUDIN,SUMBERDIREN,SUMBERDIREN,GARUM,151.58,3,Sedang,Beton,50,Terdapat saluran air tertutup di sebelah kiri ruas jalan,2273.7
432,504,JALAN IMAM BONJOL,SUMBERDIREN,SUMBERDIREN,GARUM,114.18,3,Sedang,Paving,45,Tidak terdapat saluran air,1712.7
433,500,JALAN PATTIMURA,SUMBERDIREN,SUMBERDIREN,GARUM,138.21,3,Baik,Paving,0,Tidak terdapat saluran air,2073.15
434,499,JALAN TEUKU UMAR,SUMBERDIREN,SUMBERDIREN,GARUM,27.21,3,Rusak Berat,Tanah,100,Tidak terdapat saluran air,408.15
435,526,JALAN LINGKAR BENGKOK,SUMBERDIREN,SUMBERDIREN,GARUM,924.13,2,Rusak Berat,Lapen,90,Terdapat saluran air di sebelah kanan ruas jalan,9241.3
436,584,RT. 06 RW. 03,GARUM,GARUM,GARUM,131.31,2,Baik,Paving,0,Tidak ada saluran air,1313.1
437,502,JALAN A. YANI,SUMBERDIREN,SUMBERDIREN,GARUM,40.03,3,Rusak Ringan,Lapen,25,Tidak terdapat saluran air,600.45
438,"1,392",JALAN KARANGSARI 2,NGEBRAK,TAWANGSARI,GARUM,269.77,3.5,Baik,Paving,0,Terdapat 2 saluran air di kanan kiri ruas,4720.975
439,503,JALAN DIPONEGORO,SUMBERDIREN,SUMBERDIREN,GARUM,171.93,3,Baik,Paving,0,Terdapat saluran air tertutup di sebelah kiri ruas jalan,2578.95
440,583,RT. 06 RW. 03,GARUM,GARUM,GARUM,163.35,2.5,Sedang,Beton,20,tidak ada saluran air,2041.875
441,"1,395",JALAN MAGERSARI 1,NGEBRAK,TAWANGSARI,GARUM,96.28,4.5,Baik,Paving,0,Terdapat 2 saluran air dikanan kiri ruas,2166.3
442,506,JALAN SUKARNO,SUMBERDIREN,SUMBERDIREN,GARUM,181.84,3,Baik,Paving,0,Terdapat saluran air di sebelah kanan ruas jalan,2727.6
443,"1,391",JALAN KARANGSARI 1,NGEBRAK,TAWANGSARI,GARUM,349.71,4.5,Baik,Paving,0,Terdapat 1 saluran air di kiri ruas,7868.475
