no,nomor_ruas,nama_ruas,lingkungan,kelurahan,kecamatan,panjang,lebar,kondisi_jalan,perkerasan,prosentase_kerusakan,keterangan_utilitas,kubikasi_ruas
548,798,JLN DIPONEGORO I,SATREYAN,SATREYAN,KANIGORO,151.53,3,Rusak Ringan,Lapen,15,Saluran air di kiri jalan,2272.95
549,843,JLN GG SEROJA,SAWAHAN,SATREYAN,KANIGORO,51.91,2,Sedang,Lapen,10,Tidak ada saluran air,519.1
550,823,JLN GG MELATI,SAWAHAN,SATREYAN,KANIGORO,144.18,2,Sedang,Lapen,20,terdapat saluran air di sebelah kiri,1441.8
551,847,JLN GG SEROJA,GLONDONG,SATREYAN,KANIGORO,55.67,2.5,Sedang,Lapen,10,Terdapat saluran air disebelah kiri ruas,695.875
552,801,GG RT 02 RW 03,SATREYAN,SATREYAN,KANIGORO,69.61,3.5,Rusak Berat,Tanah,100,Tidak terdapat saluran air,1218.175
553,846,JLN SEROJA,GLONDONG,SATREYAN,KANIGORO,89.82,2.5,Sedang,Lapen,10,Tidak ada saluran air,1122.75
554,800,JLN MUSHOLA,SATREYAN,SATREYAN,KANIGORO,139.73,2.5,Rusak Ringan,Paving,10,Tidak ada saluran air,1746.625
555,844,JLN SAWAH,SAWAHAN,SATREYAN,KANIGORO,68.46,2,Rusak Berat,Beton,0,Tidak ada saluran air,684.6
556,845,JLN BUNGUR,GLONDONG,SATREYAN,KANIGORO,213.09,2.3,Sedang,Lapen,20,terdapat saluran air di sebelah kiri kanan ruas,2450.535
557,894,JLN SEROJA,SEMBON,SATREYAN,KANIGORO,143.19,2.5,Sedang,Lapen,10,Tidak ada saluran air,1789.875
558,804,JLN PATIMURA B GG I,SATREYAN,SATREYAN,KANIGORO,385.2,3,Sedang,Paving,50,Tidak terdapat saluran air,5778
559,893,JLN SEROJA,SEMBON,SATREYAN,KANIGORO,133.53,2.5,Rusak Berat,Lapen,75,Tidak ada saluran air,1669.125
560,892,JLN SEROJA,SEMBON,SATREYAN,KANIGORO,75.19,2.5,Rusak Ringan,Lapen,15,Tidaka ada saluran air,939.875
561,888,JLN GG MANUKWARI,SEMBON,SATREYAN,KANIGORO,118.7,3,Rusak Berat,Paving,75,Tidak terdapat saluran air,1780.5
562,825,JLN SEROJA,SAWAHAN,SATREYAN,KANIGORO,251.42,2.5,Sedang,Lapen,15,Terdapat 1 saluran air disebelah kiri ruas,3142.75
563,820,JLN GG MELATI,SAWAHAN,SATREYAN,KANIGORO,262.93,2,Rusak Berat,Lapen,100,terdapat saluran air sebelah kiri,2629.3
564,819,JLN GG MANUKWARI,SAWAHAN,SATREYAN,KANIGORO,93.25,2,Rusak Ringan,Paving,45,Terdapat 1 saluran air disebelah kiri ruas,932.5
565,824,JLN MAKAM,SAWAHAN,SATREYAN,KANIGORO,87.34,2,Rusak Berat,Lapen,100,terdapat saluran air di sebelah kiri,873.4
566,821,JLN GG MANUKWARI,SAWAHAN,SATREYAN,KANIGORO,222.47,2.5,Rusak Berat,Lapen,30,Terdapat 1 saluran air disebelah kiri ruas,2780.875
567,826,JLN GG MURTANAN,SAWAHAN,SATREYAN,KANIGORO,276.5,3,Sedang,Lapen,50,Tidak terdapat saluran air,4147.5
568,802,JLN GG MUTIARA,SATREYAN,SATREYAN,KANIGORO,71.57,4,Rusak Berat,Tanah,100,Tidak terdapat saluran air,1431.4
569,827,JLN GG MURTANAN,SAWAHAN,SATREYAN,KANIGORO,100.51,3,Sedang,Lapen,50,Tidak terdapat saluran air,1507.65
570,828,JLN GG MURTANAN,SAWAHAN,SATREYAN,KANIGORO,169.74,3,Sedang,Lapen,50,Tidak terdapat saluran air,2546.1
571,830,JLN MAWAR,SAWAHAN,SATREYAN,KANIGORO,482.46,4,Sedang,HotMix,50,Tidak terdapat saluran air,9649.2
572,833,JLN GG MAWAR,SAWAHAN,SATREYAN,KANIGORO,126.67,3,Sedang,Beton,50,Tidak terdapat saluran air,1900.05
573,832,JLN GG MAWAR,SAWAHAN,SATREYAN,KANIGORO,124.83,3,Sedang,Lapen,50,Terdapat saluran air di sebelah kanan ruas jalan,1872.45
574,837,JLN GG MAWAR,SAWAWAHN,SATREYAN,KANIGORO,159.6,3,Sedang,Lapen,50,Terdapat saluran air di sebelah kanan ruas jalan,2394
575,839,JLN MASJID,SAWAHAN,SATREYAN,KANIGORO,184.01,3,Sedang,Lapen,50,Terdapat saluran air di sebelah kiri ruas jalan,2760.15
576,840,JLN GG MELATI,SAWAHAN,SATREYAN,KANIGORO,284.13,3,Sedang,Lapen,50,Tidak terdapat saluran air,4261.95
577,836,JLN MASJID,SAWAHAN,SATREYAN,KANIGORO,204.52,3,Rusak Ringan,Lapen,10,Saluran air di kiri jalan,3067.8
578,841,JLN GG MELATI,SAWAHAN,SATREYAN,KANIGORO,101.44,2,Baik,Lapen,0,tidak ada saluran air,1014.4
579,890,JLN GG MAWAR,SEMBON,SATREYAN,KANIGORO,164.04,3,Sedang,Lapen,40,Ada saluran air di kanan dan kiri jalan,2460.6
580,835,JLN GG MELATI,SAWAHAN,SATREYAN,KANIGORO,40.82,2,Rusak Berat,Tanah,100,Ada sungai di kiri jalan,408.2
581,842,JLN GG MELATI,SAWAHAN,SATREYAN,KANIGORO,70.63,3,Sedang,Beton,50,Tidak terdapat saluran air,1059.45
582,831,JLN GG MAWAR,SAWAHAN,SATREYAN,KANIGORO,129.79,3,Rusak Ringan,Lapen,10,Tidak ada saluran air,1946.85
583,848,JLN SEROJA,GLONDONG,SATREYAN,KANIGORO,185.76,2,Baik,Lapen,0,tidak ada saluran air,1857.6
584,822,JLN MELATI,SAWAHAN,SATREYAN,KANIGORO,625.78,3,Rusak Berat,HotMix,70,Saluran air berada di kiri jalan,9386.7
585,838,JLN MELATI,SAWAHAN,SATREYAN,KANIGORO,270.85,3,Sedang,Lapen,50,Tidak terdapat saluran air,4062.75
586,834,JLN GG MAWAR,SAWAHAN,SATREYAN,KANIGORO,366.9,2,Sedang,Lapen,10,terdapat saluran air di sebelah kiri yang tertutup,3669
587,274,JLN PERGIWO,PURWOREJO,SUTOJAYAN,SUTOJAYAN,138.88,2.5,Rusak Ringan,Lapen,40,selokan berada pada kanan ruas jalan,1736
588,353,JLN BHIRAWA RT 01,JEGU,JEGU,SUTOJAYAN,440.54,2.5,Rusak Ringan,Lapen,50,tidak ada saluran air,5506.75
589,275,JLN PERGIWATI,PURWOREJO,SUTOJAYAN,SUTOJAYAN,141.51,2.5,Rusak Ringan,Lapen,40,selokan berada di sebelah kanan ruas,1768.875
590,352,JLN RT 01,JEGU,JEGU,SUTOJAYAN,135.1,2.2,Rusak Berat,Lapen,50,Tidak ada saluran air,1486.1
591,288,JLN PUNTODEWO GG I,PURWOREJO,SUTOJAYAN,SUTOJAYAN,85.53,2,Rusak Ringan,Beton,50,selokan berada pada kanan ruas jalan,855.3
592,351,JLN BHIRAWA 02,JEGU,JEGU,SUTOJAYAN,377.56,2,Rusak Ringan,Beton,50,terdapat saluran air di sebelah kanan kiri ruas yang tertutup,3775.6
593,252,JLN SOMBO,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,407.36,2,Rusak Ringan,HotMix,20,saluran air berada di kiri ruas jalan,4073.6
594,253,JLN SEMBODRO,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,404.83,3,Sedang,HotMix,10,selokan berada pada posisi kiri jalan,6072.45
595,258,JLN SUKESI,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,183.15,2,Rusak Ringan,Beton,45,tidak terdapat selokan,1831.5
596,256,JLN SENTIAKI,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,403.92,3,Rusak Ringan,HotMix,50,tidak terdapat selokan,6058.8
597,263,JLN SENTANU,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,394.27,2.5,Rusak Ringan,HotMix,45,selokan berada pada kiri ruas jalan,4928.375
598,249,JLN SOHODWEO,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,132.4,2.5,Rusak Ringan,HotMix,50,saluran air berada di kanan ruas jalan,1655
599,265,JLN SUBALI,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,396.02,3,Sedang,HotMix,25,selokan berada pada kanan ruas jalan,5940.3
600,259,JLN SICRITO,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,190.57,2.5,Sedang,Lapen,20,terdapat saluran air di kiri ruas jalan,2382.125
601,350,JLN PJB,JEGU,JEGU,SUTOJAYAN,1064.8,2.5,Baik,HotMix,0,tidak ada saluran air,13310
602,286,JLN PANCATYONO,PURWOREJO,SUTOJAYAN,SUTOJAYAN,225.03,2.5,Rusak Berat,Beton,60,tidak terdapat selokan,2812.875
603,267,JLN SETO,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,390.17,3,Sedang,Lapen,20,selokan berada pada kiri jalan,5852.55
604,348,JLN PJB I,JEGU,JEGU,SUTOJAYAN,115.14,2,Sedang,Beton,10,tidak ada saluran air,1151.4
605,257,JLN SOSROBAU,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,202.7,3.5,Rusak Ringan,Lapen,50,terdapat saluran air di kanan ruas jalan,3547.25
606,272,JLN SENGGONO,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,390.38,2.5,Baik,HotMix,10,selokan berada pada kanan dan kiri ruas jalan,4879.75
607,349,JL PESANGGRAHAN,JEGU,JEGU,SUTOJAYAN,244.41,2.7,Rusak Berat,Lapen,100,terdapat saluran air di sebelah kiri kanan ruas,3299.535
608,361,JLN DAM PINTU AIR,KEBONSARI,JEGU,SUTOJAYAN,284.03,2,Rusak Berat,Tanah,100,terdapat saluran air di sebelah kiri,2840.3
609,358,JLN MELATI,KEBONSARI,JEGU,SUTOJAYAN,305.92,2.6,Rusak Ringan,Lapen,50,Ada saluran air disebelah kanan,3976.96
610,287,JLN PRAGUTO,PURWOREJO,SUTOJAYAN,SUTOJAYAN,207.14,2.5,Rusak Ringan,Beton,30,selokan berada di kanan ruas jalan,2589.25
611,231,JLN CAKRANINGRAT IV,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,164.6,3,Sedang,Beton,25,tidak terdapat selokan,2469
612,362,JLN RT 4 RW 1,KEBONSARI,JEGU,SUTOJAYAN,706.49,2,Sedang,Lapen,20,terdapat saluran air di sebelah kanan kiri ruas,7064.9
613,234,JLN GONDOMONO,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,373.85,3,Rusak Ringan,Lapen,20,selokan berada di kanan dan kiri ruas jalan,5607.75
614,235,JLN GENDARI,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,370.38,3,Sedang,Paving,20,selokan berada pada kiri dan kanan ruas jalan,5555.7
615,236,JLN GONDANG,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,368.67,3,Rusak Ringan,HotMix,40,selokan berada di kanan dan kiri ruas jalan,5530.05
616,232,JLN CAKRANINGRAT V,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,108.74,3,Sedang,Paving,20,tidak ada saluran air,1631.1
617,360,JLN SAWAH,KEBONSARI,JEGU,SUTOJAYAN,992.44,2,Rusak Berat,Tanah,100,terdapat dua saluran air di kiri kanan ruas,9924.4
618,233,JLN CAKRANINGRAT VI,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,47.9,1.5,Rusak Berat,Tanah,100,tidak terdapat selokan,359.25
619,238,JLN GUNAWAN,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,177.87,3,Sedang,HotMix,20,tidak ada saluran air,2668.05
620,239,JLN GATOT KOCO,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,145.43,2.5,Sedang,Paving,30,selokan berada di kanan dan kiri ruas jalan,1817.875
621,241,JLAN GUTOMO,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,413.96,5,Sedang,Beton,20,selokan berada pada kanan dan kiri ruas jalan,10349
622,240,JLN GENTAYU,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,765.43,4,Rusak Ringan,HotMix,20,selokan berada pada kiri dan kanan ruas jalan,15308.6
623,247,JLN GENTAYU GG VI,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,245.68,2.5,Rusak Ringan,Lapen,30,tidak terdapat selokan,3071
624,246,JLN GG GENTAYU GG V,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,68.68,2.5,Sedang,Beton,20,tidak terdapat selokan,858.5
625,245,JLN GG GENTAYU IV,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,55.41,2,Rusak Berat,Beton,100,tidak terdapat selokan,554.1
626,244,JLN GG GENTAYU III,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,71.04,2,Rusak Berat,Tanah,100,tidak terdapat selokan,710.4
627,242,JLN GG GENTAYU I,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,147.22,2,Baik,HotMix,10,tidak ada saluran air,1472.2
628,243,JLN GG GENTAYU II,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,44.45,2.5,Baik,HotMix,10,tidak terdapat selokan,555.625
629,356,JLN RT 1,KEBONSARI,JEGU,SUTOJAYAN,101.21,2.5,Baik,Beton,0,Tidak ada saluran air,1265.125
630,357,JL RT I TK,KEBONSARI,JEGU,SUTOJAYAN,102.7,3,Rusak Berat,Lapen,90,Tidak ada saluran air,1540.5
631,237,JLN GOROWONGSO,GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,315.39,3,Sedang,HotMix,20,selokan berada di kanan ruas jalan,4730.85
632,363,JL KEBONSARI,PAPRINGAN,JEGU,SUTOJAYAN,1315.08,2.3,Sedang,Beton,20,terdapat saluran air di sebelah kiri,15123.42
633,364,JLN PAPRINGAN,PAPRINGAN,JEGU,SUTOJAYAN,262.58,2.1,Sedang,Lapen,15,tidak ada saluran air,2757.09
634,367,JLN PAPRINGAN 02,PAPRINGAN,JEGU,SUTOJAYAN,93,2.3,Rusak Berat,Lapen,90,tidak ada saluran air,1069.5
635,271,JLN SUGRIWO,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,222,3,Sedang,HotMix,20,selokan berada di kanan ruas jalan,3330
636,365,JLN PAPRINGAN 02,PAPRINGAN,JEGU,SUTOJAYAN,553.54,2.3,Sedang,Lapen,20,tidak ada saluran air,6365.71
637,269,JLN SETIOBOMO,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,227.43,3,Rusak Ringan,HotMix,30,selokan berada di kanan ruas jalan,3411.45
638,273,JLN GG SUGRIWO I,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,140.57,2.5,Rusak Ringan,Beton,50,terdapat saluran air tertutup di bagian kiri ruas jalan,1757.125
639,366,JLN PAPRINGAN 01,PAPRINGAN,JEGU,SUTOJAYAN,262.93,2.3,Rusak Berat,Lapen,100,terdapat saluran air di sebelah kanan,3023.695
640,261,JLN SARWONDO,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,228.6,3.5,Rusak Ringan,HotMix,50,terdapat saluran air di kanan ruas jalan,4000.5
641,344,JLN SAWAH,JEGU,JEGU,SUTOJAYAN,698.38,1.7,Rusak Ringan,Lapen,20,Kanan dan kiri ada saluran air,5936.23
642,359,JLN. RT 4,KEBONSARI,JEGU,SUTOJAYAN,726.62,2,Rusak Berat,Lapen,100,terdapat dua saluran air di sebelah kiri kanan ruas,7266.2
643,355,JL KUDUS GG I,JEGU,JEGU,SUTOJAYAN,270.06,2.5,Sedang,Beton,10,Tidak ada saluran air,3375.75
644,343,JL . KUDUS,JEGU,JEGU,SUTOJAYAN,409.84,2,Rusak Berat,Tanah,100,terdapat saluran air di sebelah kiri dan kanan ruas,4098.4
645,260,JLN SURYO,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,189.41,2.5,Rusak Ringan,HotMix,40,selokan berada di sebelah kiri,2367.625
646,332,JALAN LINGKUNGAN RT.01/04,JINGGLONG,JINGGLONG,SUTOJAYAN,343.18,2,Rusak Ringan,Lapen,50,Saluran tertutup disisi kiri,3431.8
647,266,JLN SINTO,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,245,2.5,Rusak Berat,HotMix,80,selokan berada di kiri ruas jalan,3062.5
648,270,JLN SALIYO,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,146.08,2.5,Rusak Ringan,HotMix,40,terdapat saluran air di kiri ruas jalan,1826
649,342,JL RT. 07,JEGU,JEGU,SUTOJAYAN,947.65,2.3,Sedang,Lapen,20,terdapat saluran air di sebelah kanan yang tertutup,10897.975
650,268,JLN SALINDRI,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,106.05,2,Rusak Ringan,Beton,15,tidak ada saluran air,1060.5
651,255,JLN SAKRI,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,246.91,2.5,Sedang,Paving,30,selokan berada di tengah ruas jalan,3086.375
652,340,JLN KUDUS TK,JEGU,JEGU,SUTOJAYAN,578.45,3.1,Baik,HotMix,0,Tidak ada saluran air,8965.975
653,248,JLN KESATREYAN,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,1265.12,3.5,Rusak Ringan,HotMix,50,Selokan berada di kiri ruas jalan,22139.6
654,341,JL BIRAWA BARAT,JEGU,JEGU,SUTOJAYAN,228.62,2.5,Sedang,Lapen,20,terdapat saluran air di sebelah kanan,2857.75
655,354,JLN BHIRAWA RT7,JEGU,JEGU,SUTOJAYAN,161.33,3,Baik,HotMix,0,Tidak ada saluran air,2419.95
656,254,JLN SETIOKO,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,398.56,2.5,Rusak Ringan,Lapen,50,terdapat saluran air di kanan ruas jalan,4982
657,262,JLN SEKUTREM,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,115.69,2.5,Rusak Ringan,Beton,30,selokan berada di kanan ruas jalan,1446.125
658,338,JLN BHARAMA GG I,JEGU,JEGU,SUTOJAYAN,144.93,2,Sedang,Beton,10,tidak ada saluran air,1449.3
659,264,JLN SUPROBO,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,117.71,2,Sedang,Beton,20,tidak terdapat selokan,1177.1
660,346,JLN ARUM DALU,JEGU,JEGU,SUTOJAYAN,411.81,2.5,Rusak Ringan,Lapen,15,Tidak ada saluran air,5147.625
661,250,JLN SUMANTRI,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,411.78,3,Rusak Ringan,Lapen,30,selokan berada pada kanan dan kiri ruas,6176.7
662,345,JLN KUDUS GG III,JEGU,JEGU,SUTOJAYAN,646.81,2.7,Sedang,Lapen,10,Tidak ada saluran air,8731.935
663,339,JLN KUDUS GG II,JEGU,JEGU,SUTOJAYAN,232.06,2.1,Sedang,Beton,10,tidak ada saluran air,2436.63
664,208,JLN KESATREAN,WONOREJO,KALIPANG,SUTOJAYAN,142.81,3.5,Sedang,HotMix,30,selokan berada di kanan ruas jalan,2499.175
665,251,JLN SRIKANDI,SUTOJAYAN,SUTOJAYAN,SUTOJAYAN,241.13,3,Rusak Ringan,HotMix,60,selokan berada di sebelah kiri jalan,3616.95
666,230,JLN CAKRANIGRAT,SUTOJAYAN - GONDANGLEGI,SUTOJAYAN,SUTOJAYAN,1811.99,5,Rusak Ringan,HotMix,70,selokan berada pada kanan dan kiri ruas jalan,45299.75
667,347,JL GG BHIRAWA,JEGU,JEGU,SUTOJAYAN,223.37,2.2,Sedang,Beton,0,Tidak ada saluran air,2457.07
668,374,GANG TEMBUS LINGKAR JARING,KEMBANGARUM,KEMBANGARUM,SUTOJAYAN,82.68,2,Sedang,Beton,20,terdapat dua saluran air di sebelah kiri kanan ruas,826.8
669,389,GANG BU TASNGIATUN,KEMBANGARUM,KEMBANGARUM,SUTOJAYAN,53.57,2,Rusak Berat,Tanah,100,tidak terdapat selokan,535.7
670,384,GANG MAKAM CINA,KEMBANGARUM,KEMBANGARUM,SUTOJAYAN,30.32,2,Rusak Berat,Tanah,100,selokan berada di kanan ruas jalan,303.2
671,383,GANG P. EDI SONDONG,KEMBANGARUM,KEMBANGARUM,SUTOJAYAN,55.6,2.3,Rusak Berat,Tanah,100,tidak ada saluran air,639.4
672,,,,,,0,0,,,,,0
673,373,JALAN BIRAWA,KEMBANGARUM,KEMBANGARUM,SUTOJAYAN,258.18,2.5,Rusak Berat,HotMix,80,tidak terdapat selokan,3227.25
674,388,GANG PANDE,KEMBANGARUM,KEMBANGARUM,SUTOJAYAN,239.32,2.3,Sedang,Beton,15,terdapat saluran air di sebelah kanan,2752.18
675,386,JALAN TPU GURIT,KEMBANGARUM,KEMBANGARUM,SUTOJAYAN,32.18,2,Rusak Ringan,Beton,60,tidak terdapat selokan,321.8
676,385,GANG PERTANIAN,KEMBANGARUM,KEMBANGARUM,SUTOJAYAN,75.41,1.7,Rusak Berat,Tanah,100,terdapat saluran air di sebelah kiri,640.985
677,387,GANG MBAK LILIS,KEMBANGARUM,KEMBANGARUM,SUTOJAYAN,112.14,2.5,Rusak Berat,Beton,80,tidak terdapat selokan,1401.75
678,318,JALAN CENDANA,BENING,JINGGLONG,SUTOJAYAN,373.87,2.5,Rusak Berat,Lapen,90,terdapat saluran air di sebelah kanan kiri ruas,4673.375
679,199,JLN KENANGA,BULU,KALIPANG,SUTOJAYAN,235.66,2.5,Rusak Ringan,Lapen,60,selokan berada di kanan dan kiri ruas jalan,2945.75
680,152,JLN COLEKSONO,DANDONG,DANDONG,SRENGAT,315.47,4,Rusak Ringan,HotMix,10,Drainase tertutub kanan jalan,6309.4
681,175,JLN BERINGIN TIMUR,DANDONG,DANDONG,SRENGAT,199.61,2.7,Baik,HotMix,0,Tdk ad drainase,2694.735
682,151,JLN BERINGIN TIMUR,DANDONG,DANDONG,SRENGAT,94.31,2.7,Baik,HotMix,0,Tdk ad drainase,1273.185
683,179,JLN K A COLEKSONO,DANDONG,DANDONG,SRENGAT,234.58,2.7,Rusak Ringan,Lapen,30,Ada saluran air disebelah kiri,3166.83
684,181,JLN COLEKSONO,DANDONG,DANDONG,SRENGAT,109.07,3.7,Rusak Ringan,HotMix,10,Saluran air tertutup kanan dan kiri,2017.795
685,306,JLN TUMPAK,LINGKUNGAN II,SUKOREJO,SUTOJAYAN,118.53,2,Sedang,Beton,15,terdapat selokan di sebelah kiri ruas jalan,1185.3
686,171,JLN STADION,DANDONG,DANDONG,SRENGAT,313.34,3.7,Baik,HotMix,0,Drainase tertutub kiri jalan,5796.79
687,176,JLN BERINGIN BARAT,DANDONG,DANDONG,SRENGAT,115.7,3.1,Sedang,HotMix,10,Saluran air disebelah kiri tertutup,1793.35
688,187,JLN KAWEDANDAN,DANDONG,DANDONG,SRENGAT,188.5,2.2,Baik,HotMix,0,Saluran air tertutup disebelah kanan,2073.5
689,161,JLN PINANG TIMUR,DANDONG,DANDONG,SRENGAT,258.29,2,Rusak Berat,Tanah,100,,2582.9
690,61,JLN TERATAI GG I,SRENGAT I,SRENGAT,SRENGAT,314.44,2,Rusak Berat,Beton,100,Tidak ada saluran air,3144.4
691,60,JLN TERATAI GG II,SRENGAT I,SRENGAT,SRENGAT,63.59,2.3,Baik,Paving,10,Tidak ada saluran air,731.285
692,62,JLN TERATAI GG II,SRENGAT I,SRENGAT,SRENGAT,276.71,2.2,Rusak Ringan,Paving,30,Tidak ada saluran air,3043.81
693,142,GG. MBAH MANTRI,TOGOGAN,TOGOGAN,SRENGAT,128.35,3.25,Sedang,Paving,30,Tidak ada saluran air,2085.6875
694,135,JLN. SUMATRA,TOGOGAN,TOGOGAN,SRENGAT,426.61,3.2,Baik,HotMix,0,Saluran air disebelah kanan,6825.76
695,303,JLN MENUJU MAKAM,LINGKUNGAN II,SUKOREJO,SUTOJAYAN,293.8,2.3,Rusak Berat,Lapen,100,terdapat saluran air di sebelah kanan kiri ruas,3378.7
696,305,JLN MAKAM,LINGKUNGAN II DAN I,SUKOREJO,SUTOJAYAN,362.38,3,Rusak Berat,Lapen,90,selokan berada di kiri ruas jalan,5435.7
697,141,RT/ RW 02/01,TOGOGAN,TOGOGAN,SRENGAT,156.49,2,Rusak Berat,Beton,60,Tidak ada saluran air,1564.9
698,304,JLN MENUJU MUSHOLA,LINGKUNGAN II,SUKOREJO,SUTOJAYAN,270.76,2.3,Rusak Ringan,Lapen,50,tidak ada saluran air,3113.74
699,302,JLN MENUJU MUSHOLA,LINGKUNGAN II,SUKOREJO,SUTOJAYAN,221.89,2.5,Rusak Berat,Lapen,75,selokan berada di kiri ruas jalan,2773.625
700,301,JLN ANJASMORO,LINGKUNGAN II,SUKOREJO,SUTOJAYAN,487.78,2.6,Sedang,Lapen,20,selokan berada di kanan dan kiri ruas jalan,6341.14
701,310,JLN ANJASMORO,LINGKUNGAN I,SUKOREJO,SUTOJAYAN,307.71,2.5,Sedang,Lapen,15,terdapat dua saluran air di sebelah kiri kanan ruas,3846.375
702,300,JLN RT2 RW3,LINGKUNGAN I,SUKOREJO,SUTOJAYAN,187.22,2.5,Rusak Ringan,Lapen,60,tidak terdapat selokan,2340.25
703,,,,,,0,0,,,,,0
704,309,JLN KELUD GG II,LINGKUNGAN I,SUKOREJO,SUTOJAYAN,265.78,2,Rusak Ringan,Beton,45,tidak terdapat selokan,2657.8
705,296,JL RT2 RW3,LINGKUNGAN I,SUKOREJO,SUTOJAYAN,267.16,1.7,Rusak Berat,Beton,100,terdapat saluran air di sebelah kanan,2270.86
706,297,JLN GG KELUD,LINGKUNGAN I,SUKOREJO,SUTOJAYAN,237.89,2,Rusak Ringan,Beton,50,terdapat saluran air di sebelah kiri,2378.9
707,308,GG RT 1 RW3,LINGKUNGAN I,SUKOREJO,SUTOJAYAN,60.25,2.7,Rusak Berat,Beton,80,tidak terdapat selokan,813.375
708,299,JLN ANJASMORO GG,LINGKUNGAN I,SUKOREJO,SUTOJAYAN,232.09,2.7,Sedang,Beton,20,terdapat saluran air di sebelah kanan,3133.215
709,307,JLN LAPANGAN 2,LINGKUNGAN I,SUKOREJO,SUTOJAYAN,226.95,2,Rusak Berat,Paving,50,tidak terdapat selokan,2269.5
710,298,JLN KELUD GG I,LINGKUNGAN I,SUKOREJO,SUTOJAYAN,120.09,1.7,Sedang,Beton,10,terdapat saluran air di sebelah kanan,1020.765
711,313,JLN LAPANGAN I,LINGKUNGAN I,SUKOREJO,SUTOJAYAN,200.04,3,Rusak Berat,Beton,80,selokan berada di kiri ruas jalan,3000.6
712,292,JLN ANJASMORO,LINGKUNGAN I,SUKOREJO,SUTOJAYAN,358.82,3.5,Rusak Ringan,Lapen,40,terdapat saluran air di sebelah kiri,6279.35
713,311,JLN MERAPI,LINGKUNGAN I,SUKOREJO,SUTOJAYAN,348.71,3,Sedang,HotMix,15,terdapat saluran air di sebelah kiri,5230.65
714,188,JLN CENDADA,DANDONG,DANDONG,SRENGAT,194.61,2.7,Rusak Berat,Lapen,70,Tidak ada saluran air,2627.235
715,312,JALAN SAWAH,LINGK I,SUKOREJO,SUTOJAYAN,65.2,1.5,Rusak Berat,Tanah,100,terdapat saluran air di sebelah kanan,489
716,173,JLN PINANG TENGAH,DANDONG,DANDONG,SRENGAT,493.17,3.9,Sedang,HotMix,10,Saluran air disebelah kanan,9616.815
717,177,JLN GG PINANG TENGAH,DANDONG,DANDONG,SRENGAT,78.46,2.6,Sedang,Lapen,20,Tdk ad drainase,1019.98
718,180,JLN GG PINANG TENGAH,DANDONG,DANDONG,SRENGAT,107.26,2,Rusak Ringan,Lapen,5,Tidak ada saluran air,1072.6
719,322,JALAN TERATAI,BENING,JINGGLONG,SUTOJAYAN,1875.82,3.5,Rusak Berat,Lapen,100,terdapat saluran air di sebelah kanan,32826.85
720,328,JALAN DAHLIA,BENING,JINGGLONG,SUTOJAYAN,667.44,2.5,Sedang,Lapen,20,terdapat dua saluran air di sebelah kiri kanan ruas,8343
